start_time,	pre_process,	bird_view,	sliding_windows,	draw_lane,	run_time
1546768702.63,	0.00278902053833,	0.00326895713806,	0.0073778629303,	0.00247716903687,	1546768702.65
1546768702.66,	0.00300693511963,	0.00202798843384,	0.00693392753601,	0.00297617912292,	1546768702.68
1546768702.69,	0.00211405754089,	0.00217795372009,	0.010782957077,	0.00301504135132,	1546768702.71
1546768702.72,	0.00193214416504,	0.00238394737244,	0.00743412971497,	0.00446081161499,	1546768702.74
1546768702.75,	0.00278878211975,	0.0024561882019,	0.00782799720764,	0.00388789176941,	1546768702.77
1546768702.78,	0.00194311141968,	0.00199484825134,	0.00803303718567,	0.00403499603271,	1546768702.8
1546768702.8,	0.0021710395813,	0.0020740032196,	0.00824594497681,	0.00388097763062,	1546768702.82
1546768702.83,	0.0025908946991,	0.00199604034424,	0.00618696212769,	0.00458407402039,	1546768702.85
1546768702.85,	0.00189995765686,	0.00324201583862,	0.00780391693115,	0.00301694869995,	1546768702.87
1546768702.88,	0.00188803672791,	0.00199699401855,	0.0063750743866,	0.00465893745422,	1546768702.9
1546768702.9,	0.00197291374207,	0.00586891174316,	0.00852918624878,	0.00213193893433,	1546768702.92
1546768702.93,	0.00371718406677,	0.0027928352356,	0.00656795501709,	0.00287222862244,	1546768702.95
1546768702.95,	0.00245594978333,	0.0028440952301,	0.00836277008057,	0.0023090839386,	1546768702.97
1546768702.98,	0.00321292877197,	0.00201916694641,	0.00806403160095,	0.00221681594849,	1546768702.99
1546768703.0,	0.00199103355408,	0.00237798690796,	0.0103039741516,	0.00235509872437,	1546768703.02
1546768703.03,	0.00298690795898,	0.00202608108521,	0.00957798957825,	0.00256705284119,	1546768703.04
1546768703.05,	0.00196504592896,	0.00241208076477,	0.00949907302856,	0.00227093696594,	1546768703.07
1546768703.08,	0.0032320022583,	0.0053870677948,	0.00809383392334,	0.00333213806152,	1546768703.1
1546768703.1,	0.00288510322571,	0.00204992294312,	0.00722503662109,	0.0022120475769,	1546768703.12
1546768703.13,	0.00648188591003,	0.00237798690796,	0.00650215148926,	0.00298094749451,	1546768703.15
1546768703.15,	0.00217914581299,	0.00246906280518,	0.00855278968811,	0.0028121471405,	1546768703.17
1546768703.18,	0.00360703468323,	0.00227999687195,	0.00812101364136,	0.00227499008179,	1546768703.2
1546768703.21,	0.00196409225464,	0.00200796127319,	0.00682902336121,	0.0040979385376,	1546768703.22
